Código interno|COD_SOC|Descrição Original|Descrição Final|LATERALIDADE|GRUPO|SUBGRUPO|Periodicidade Padrão|Preparo|TUSS|AMB|CBHPM|TIPO|
|Mantris6001|1,2 dihidroxi-4 - (N-acetilcistenil)-butano/Butadieno|1,2 dihidroxi-4 - (N-acetilcistenil)-butano/Butadieno||LABORATORIAL|URINA||||||UPDATE|
|mantris3376|17-alfa-hidroxiprogesterona|Alfa-Hidroxiprogesterona||LABORATORIAL|SORO|||40316017|31120318|40316017|UPDATE|
|mantris3886|17-cetosteróides totais (17-CTS)|17-Cetosteroides Totais (17-cts)||LABORATORIAL|URINA|||40305082|28050126|40305082|UPDATE|
|mantris422|2,5-hexanodiona, dosagem na urina|2,5 Hexanodiona||LABORATORIAL|URINA|||40311236||40311236|UPDATE|
|28050991|25 - Hidroxivitamina D3|25 - Hidroxivitamina D3||LABORATORIAL|SANGUE|||40302830||40302830|UPDATE|
|mantris419|Acetilcolinesterase, em eritrócitos|Acetil-Colinesterase Eritrocitária||LABORATORIAL|SANGUE|||40301044||40301044|UPDATE|
|Acetona|Acetona|Acetona||LABORATORIAL|URINA|||40301052||40301052|UPDATE|
|mantris4498|Ácido 2-Tio-Tiazolidina urinário|Ácido 2-Tio-Tiazolidina ||LABORATORIAL|URINA||||||UPDATE|
|mantris3577|Ácido Delta Aminolevulínico (para chumbo inorgânico)- ALA-U ( Urina)|Ácido Delta Aminolevulínico (para chumbo inorgânico)- ALA-U, urina||LABORATORIAL|URINA|||40313018|28150015|40313018|UPDATE|
|mantris3578|Ácido delta aminolevulínico desidratase (p/chumbo inorgânico) ALA-D|Ácido Delta Aminolevulínico Desidratase (p/chumbo inorgânico) ALA-D||LABORATORIAL|URINA|||40313026|28150023|40313026|UPDATE|
|mantris3549|Ácido fenilglioxílico (para estireno)|Ácido Fenilglioxílico (para estireno)||LABORATORIAL|URINA|||40313034|28150031|40313034|UPDATE|
|migra47|Ácido Fólico|Ácido Fólico||LABORATORIAL|SANGUE|||40301087|28010060|40301087|UPDATE|
|mantris208|Ácido hipúrico (para tolueno)|Ácido Hipúrico Urinário (para tolueno)||LABORATORIAL|URINA|||40313042|28150040|40313042|UPDATE|
|28150058|Acido Mandelico|Ácido Mandélico||LABORATORIAL|URINA|||40313050|28150058|40313050|UPDATE|
|mantris210|Ácido metilhipúrico (para xilenos)|Ácido Metil-Hipúrico Urinário (para xilenos)||LABORATORIAL|URINA|||40313069|28150066|40313069|UPDATE|
|mantris4144|Ácido pirúvico|Acido Pirúvico||LABORATORIAL|SANGUE|||40301133|28010140|40301133|UPDATE|
